capacity_pct,n_reviewed,actual_late_captured,precision_at_k,recall_at_k
5%,1354,1354,1.0,0.0909
10%,2708,2708,1.0,0.1818
20%,5416,5278,0.9745,0.3543
30%,8124,7472,0.9197,0.5015
50%,13540,10380,0.7666,0.6967
